#STEP_FILE ! FILE_SIZE | MOD_TIME

SOT-23-6.STEP ! 307619 ! 1213776838
SOT95P237X112-3N.step ! 86342 ! 1480599362
XH-A-2.STEP ! 168253 ! 1229894176
TSSOP24.STEP ! 1858067 ! 1480551296
55.step ! 472410 ! 1480728542
QSOP16.STEP ! 970048 ! 1480553374
r0603.STEP ! 664657 ! 1480547996
switch_1.STEP ! 1292007 ! 1480682844
CAP6_3x5_9.STEP ! 236766 ! 1485723844
TO263-5.STEP ! 783560 ! 1253594006
LQFP48.STEP ! 1760863 ! 1259107634
XH-A-3.STEP ! 228752 ! 1229894252
DO-214AC.step ! 472410 ! 1480728542
CR1220.STEP ! 1144448 ! 1480526968
LQFP-64.STEP ! 3042418 ! 1485721246
User Library-ECS-240-20-5PX-TR.STEP ! 69961 ! 1480447132
User Library-User Library-MAX_QSOP16.STEP ! 970048 ! 1480553374
UFL-R-SMD.STEP ! 213570 ! 1252010740
C7343-31.STEP ! 845679 ! 1480550608
C1206.STEP ! 160217 ! 1480595608
XH-A-4.STEP ! 262457 ! 1228371862
c0603.STEP ! 160455 ! 1480520800
User Library-HC49S.STEP ! 214035 ! 1480443836
sop16.STEP ! 3782260 ! 1480541516
CRYSTAL1190X300N.STEP ! 67966 ! 1480591573
sop-8.STEP ! 341351 ! 1480527072
HK4100F.STEP ! 2154964 ! 1480683236
C3216-18_A.STEP ! 888227 ! 1480559626
SOT-223.STEP ! 226211 ! 1232272804
crystal-5x3.STEP ! 170267 ! 1480680458
SOD123.STEP ! 1080122 ! 1480522998
C3528-21.STEP ! 931612 ! 1480534158
cy3215SA.STEP ! 245596 ! 1480611748
CRYSTAL1060X400N.step ! 67159 ! 1480592364
XH-A-5.STEP ! 301502 ! 1229903050
CAPAE530X610N.step ! 1118692 ! 1480450080
sop4-100.STEP ! 937207 ! 1480537276
dc005.STEP ! 107816 ! 1480555518
LQFP-100.STEP ! 8117044 ! 1480557544
CAPAE530X610N.STEP ! 1118692 ! 1480450080
2410-fuse.STEP ! 384443 ! 1480659332
SON50P200X300X80-10N.step ! 85585 ! 1481443300
CAPC3216X140N.step ! 36134 ! 1480522782
CD73.STEP ! 908301 ! 1480682290
sot23-5.STEP ! 184666 ! 1213917980
cap8x10.STEP ! 883767 ! 1485724820
MSOP8.STEP ! 384139 ! 1141102626
sot23.step ! 86342 ! 1480599366
soic-8p-208.STEP ! 183859 ! 1480549030
